,logFC,AveExpr,t,P.Value,adj.P.Val,B
MTSS1L,4.053202030284794,3.495814580193967,61.70471934884948,1.669036524786939e-295,4.9573990729281196e-294,666.972087909783
DOCK6,3.4424720569030853,3.180340634887609,61.635468580612034,3.365896032969747e-295,9.936104439657779e-294,666.2825032435718
STAP2,6.2565432964486405,2.3075874015259368,61.57731194849509,6.0689006436107005e-295,1.7779015325353903e-293,665.6949093893896
RHBDF1,5.1335686805898435,1.8285443059575164,61.525847761270505,1.0228081511550557e-294,2.9782130840062565e-293,665.1491035554335
RP11-215A21.2,5.208348097421322,-3.0888974240927087,61.512226913013386,1.1743868516053895e-294,3.4092645147585116e-293,664.3005212156663
LPIN3,5.537089243565225,1.5073799153542182,61.35848097971127,5.595956527033344e-294,1.6099458187714614e-292,663.4265099605067
LGALS3BP,4.576110432805327,6.525984501821371,61.334577006050665,7.135095775942797e-294,2.049689379098075e-292,663.1747077381951
CDK2AP1,2.5996649689535722,5.070688370994567,61.286361677613385,1.1650187553657477e-293,3.3417460483643136e-292,662.6781591917398
MYO6,4.8473724988344635,3.2794969225676565,61.24735975329859,1.7324427412409545e-293,4.954580303219117e-292,662.3390143028881
TSPAN15,5.097064572738373,2.8568880583659206,61.2409539455459,1.8491379077746347e-293,5.280468443759406e-292,662.2849806601829
PCYOX1,2.716317316860169,4.293409677343728,61.212409424831336,2.4725530849041846e-293,7.0502561815038285e-292,661.9407752906085
NR2F2,5.262123017437512,2.0720039442154876,61.21203436159317,2.482011509335681e-293,7.066756733755007e-292,661.9776174581061
FAIM,3.1681297192949236,1.371863877531901,61.21149230323449,2.495745290520856e-293,7.09536330969792e-292,661.9211795585938
PLEKHA5,4.411131325371804,2.1751133735398094,61.205917316064124,2.6414865392314093e-293,7.498627053183914e-292,661.9199495855315
RIPPLY3,7.184624085166605,-2.6052139874377915,61.18934387984041,3.1270279231295863e-293,8.863903746167178e-292,661.1311026575969
MECOM,7.349605746326004,1.4873504821915866,61.143829921926404,4.9710789349807527e-293,1.4008544108576068e-291,661.2436319162582
UGGT2,3.498323756299839,2.0656453085825586,61.04077678871969,1.4211783890449497e-292,3.993200066269802e-291,660.2339649756196
RAB25,8.045796952177316,2.348686640318886,60.97886652924842,2.6727678120690586e-292,7.477145651001914e-291,659.6130289935685
PACSIN3,6.141842624599191,2.0202861880958785,60.8493310991937,1.003479561238687e-291,2.791036288318065e-290,658.2790710720045
FNBP1L,4.1691616113313845,3.02528722864246,60.82987969827862,1.224205638974561e-291,3.395142065323253e-290,658.0903866278101
SPATS2L,3.9615266810786673,4.228763344685851,60.73726665739057,3.1566072306348507e-291,8.729198185061634e-290,657.093083055061
UNC5B,5.666559766670136,1.9772583864043207,60.6854166468896,5.3667133029610975e-291,1.481967445367177e-289,656.6018090513702
WWC1,5.585134896132836,1.7026405598341292,60.63122112327831,9.348939494959862e-291,2.5705576922784637e-289,656.0306286738612
LAPTM4B,4.440436505121635,4.1975008902731865,60.572450793266526,1.7073628176605386e-290,4.681141332124272e-289,655.4060232721071
HOXB7,6.668979510932984,0.6518654996714254,60.54218079518361,2.3286872971051563e-290,6.3665119896850775e-289,655.0173116272268
ANTXR1,6.121191172978591,2.7320141161619187,60.47199878298735,4.78395650408997e-290,1.2986856253063422e-288,654.4315927969051
ZFYVE9,3.2086671345061144,2.29253610828619,60.44165089421722,6.532327644917054e-290,1.7658386261477326e-288,654.1169380307851
MTX2,3.05917607078882,2.92439755913423,60.38048492710697,1.2242267114090551e-289,3.2908787031410736e-288,653.4892449962374
U47924.27,7.29753626249499,-2.3024866471657286,60.3599592149697,1.51162931798858e-289,4.0577865388181594e-288,652.7401818293365
EXD2,2.327698747974922,2.7235844683612425,60.346475181345866,1.736283997466176e-289,4.654353495714692e-288,653.1432134980329
ARHGEF16,7.200938186337586,0.5796236829519122,60.313923966510195,2.426187010790402e-289,6.485669638428176e-288,652.6700381388378
RHBDL2,7.262762740489222,-0.48121910322541706,60.29197489639993,3.040399719731327e-289,8.105065568652196e-288,652.3142027003505
SNRPD1,2.9281734177983156,3.9433221916694974,60.19334706929112,8.387096452504546e-289,2.2265716609842065e-287,651.5220268798882
NDUFA5,2.6645833399858274,3.732470730258341,60.09750184279076,2.250688889554329e-288,5.950413332040133e-287,650.5449775768328
MEX3D,3.756845507958338,2.3940388595531163,60.087124710333676,2.5047136291758856e-288,6.60386619462305e-287,650.4749507206174
TLCD1,6.4520236463315515,0.2846683878789848,60.05784599131039,3.3870587978522985e-288,8.905836158779124e-287,650.0044385004232
