,logFC,AveExpr,t,P.Value,adj.P.Val,B
OLFML2A,7.151121228037036,3.373028932686021,80.65748542187495,0.0,0.0,922.2378929922963
LINC00240,6.708738040651547,-1.959341715801904,80.63201539528765,0.0,0.0,921.1507865928852
MCAM,5.873071042122476,5.487729611167794,80.60821076360568,0.0,0.0,921.7546834014257
GALNT18,6.9429881243819,2.01575220430051,80.58260692475608,0.0,0.0,921.424139010163
SLC41A2,6.347977645158763,1.9575800635544287,80.55163726735472,0.0,0.0,921.1211295235174
CFI,8.686409630839817,2.8373481315416145,80.51793223673485,0.0,0.0,920.8886940064981
GPC6,9.094074233086488,1.3975045724222475,80.49372125999628,0.0,0.0,920.4793669110778
KIAA1462,6.048466953156513,3.3290181886201218,80.49256959966708,0.0,0.0,920.6651737624412
CDH6,10.074362123654993,3.1650218836824564,80.48319365436356,0.0,0.0,920.5718983652704
TINAGL1,6.265687719786395,3.8518631210666774,80.45837182041232,0.0,0.0,920.3396901080481
PALM2-AKAP2,8.726260276751868,-1.0376254910085394,80.38508120427962,0.0,0.0,918.9749568325093
BMPR1A,3.6868677244404138,2.808483055521285,80.37699502729642,0.0,0.0,919.54228440502
EML1,6.915059210718285,1.5485779974520781,80.31936326722409,0.0,0.0,918.8431284286085
SPRED1,4.8687720493800315,3.475960459030104,80.30649876956191,0.0,0.0,918.8901957692406
HOXC6,7.4506506325614845,-0.3044198720883166,80.29953804371661,0.0,0.0,918.2933817086583
PLEKHA6,5.158887044835673,2.7782941374030488,80.29583920916095,0.0,0.0,918.7652971111722
SMO,6.456681731115161,1.957066690276578,80.25582007365757,0.0,0.0,918.2993144775414
PCDHGC3,6.110901450668025,3.945474017480429,80.18047460767549,0.0,0.0,917.6825896949712
AJUBA,5.972116284424789,2.226903174376357,80.12676831882811,0.0,0.0,917.0998106957084
APLN,9.237233666168851,1.975236002256917,80.06122299743966,0.0,0.0,916.4412175820776
KCNE4,8.129360440443644,0.9120227056844721,80.05145777992752,0.0,0.0,916.1673330433052
PDGFA,5.191834026530474,2.652023163411204,80.05029584149528,0.0,0.0,916.4079437000477
MYO1B,5.716191006094991,3.826606017416747,79.88391949620811,0.0,0.0,914.8419249194837
SLC1A1,8.376015675960968,1.670503985726457,79.77477247928216,0.0,0.0,913.6519262764003
INTU,5.784238169133545,0.9849384296820887,79.76646700944035,0.0,0.0,913.4522930932359
UNC5B,6.855084092231809,3.123232022224241,79.7456794886439,0.0,0.0,913.5103506392576
RBPMS-AS1,6.673336503802549,-1.7757831287508845,79.60527673244721,0.0,0.0,911.3934836957679
ARSJ,7.590945580757952,0.2340279234156362,79.56507533474192,0.0,0.0,911.372853031833
STC2,8.96078279538929,2.5059484535272656,79.55970033783129,0.0,0.0,911.6876362615058
TRPC4,6.829215871211201,-1.8368891322209793,79.5376931904442,0.0,0.0,910.7341081025762
EDNRA,8.055517406275982,0.9557598257059908,79.51335557469804,0.0,0.0,911.0167150983638
